source_node,target_node,relationship_type
"COVID Economic Shock (2020)","Historical Layer","BELONGS_TO"
"Global Lockdowns","Market Condition Layer","BELONGS_TO"
"Supply Chain Disruptions","Market Condition Layer","BELONGS_TO"
"Unemployment Spike (2020)","Market Condition Layer","BELONGS_TO"
"Monetary Easing Blitz","Systemic Reform Layer","BELONGS_TO"
"Fiscal Stimulus Packages","Systemic Reform Layer","BELONGS_TO"
"Remote Work Acceleration","Cognitive-Agentic Layer","BELONGS_TO"
"Stock Market Crash (March 2020)","Historical Layer","BELONGS_TO"
"Recovery K-Shape","Feedback Layer","BELONGS_TO"
"Vaccine Development Race","Simulation Layer","BELONGS_TO"
"Oil Price Crash (April 2020)","Historical Layer","BELONGS_TO"
"Federal Reserve QE Infinity","Systemic Reform Layer","BELONGS_TO"
"ECB PEPP","Systemic Reform Layer","BELONGS_TO"
"Paycheck Protection Program (PPP)","Systemic Reform Layer","BELONGS_TO"
"E-Commerce Surge","Cognitive-Agentic Layer","BELONGS_TO"
"Global Chip Shortage (2020-21)","Market Condition Layer","BELONGS_TO"
"Inflation Spike (2021)","Feedback Layer","BELONGS_TO"
"Labor Shortage Trend","Market Condition Layer","BELONGS_TO"
"Telehealth Adoption Boom","Cognitive-Agentic Layer","BELONGS_TO"
"mRNA Vaccine Breakthrough","Simulation Layer","BELONGS_TO"
"Global Lockdowns","COVID Economic Shock (2020)","TRIGGERED_BY"
"Supply Chain Disruptions","Global Lockdowns","RESULTED_FROM"
"Unemployment Spike (2020)","Global Lockdowns","RESULTED_FROM"
"Stock Market Crash (March 2020)","COVID Economic Shock (2020)","IMMEDIATE_RESULT"
"Monetary Easing Blitz","Stock Market Crash (March 2020)","RESPONSE_TO"
"Fiscal Stimulus Packages","Unemployment Spike (2020)","RESPONSE_TO"
"Remote Work Acceleration","COVID Economic Shock (2020)","BEHAVIORAL_SHIFT"
"Recovery K-Shape","Fiscal Stimulus Packages","FOLLOWED_BY"
"Vaccine Development Race","COVID Economic Shock (2020)","SIMULATION_RESPONSE"
"Oil Price Crash (April 2020)","Global Lockdowns","RESULTED_FROM"
"Federal Reserve QE Infinity","Stock Market Crash (March 2020)","RESPONSE_TO"
"ECB PEPP","Stock Market Crash (March 2020)","RESPONSE_TO"
"Paycheck Protection Program (PPP)","Unemployment Spike (2020)","RESPONSE_TO"
"Global Chip Shortage (2020-21)","Supply Chain Disruptions","RESULTED_FROM"
"E-Commerce Surge","Remote Work Acceleration","ASSOCIATED_WITH"
"Inflation Spike (2021)","Monetary Easing Blitz","FOLLOWED_BY"
"Labor Shortage Trend","Remote Work Acceleration","ASSOCIATED_WITH"
"Telehealth Adoption Boom","Global Lockdowns","BEHAVIORAL_SHIFT"
"mRNA Vaccine Breakthrough","Vaccine Development Race","RESULT_OF"
